Compagnie	Contrats	"Produit 
"	Type de commission (Linéaire/Précompte)	Taux de Commission N	Date Souscription	Commission principale N	Date D'effet	Commission secondaire N	Taux N+1	Taux N+2	Taux N+3	Taux N+4	Prime Brute TTC	Répartition Souscription €	Répartition Date D'effet €	Commission N	Commission N+1	
 NEOLIANE	Santé	QUIETUDE	Précomptée	44%		36%		8%	10%						  -    € 			
 NEOLIANE	Santé	DYNAMIQUE	Précomptée	44%		36%		8%	10%									
 NEOLIANE	Santé	PERFORMANCE	Précomptée	44%		36%		8%	10%									
 NEOLIANE	Santé	INNOV' SANTE	Précomptée	44%		36%		8%	10%									
 NEOLIANE	Santé	HOSPISANTE	Précomptée	44%		36%		8%	10%									
 NEOLIANE	Santé	OPTIMA	Précomptée	34%		28%		6%	13%	14%	15%							
 NEOLIANE	Santé	PLENITUDE	Précomptée	30%		30%		0%	10%									
 NEOLIANE	Santé	ALTOSANTE	Précomptée	30%		30%		0%	10%									
 NEOLIANE	Santé	 ENERGIK	Précomptée	30%		30%		0%	10%									
 NEOLIANE	Santé	PULSE	Précomptée	35%		28%		7%	10%									
 NEOLIANE	Santé	PULSE	Linéaire	17%		17%		0%	17%									
 NEOLIANE	Obseques	Viagère	Précomptée	50%		50%		0%	10%									
 NEOLIANE	Obseques	Tempo 15	Précomptée	35%		35%		0%	10%									
 NEOLIANE	Obseques	Tempo 20	Précomptée	40%		40%		0%	10%									
 NEOLIANE	Prevoyance	Multi Accidents	Précomptée	70%		50%		20%	10%									
 NEOLIANE	Prevoyance	Hospi Zen	Précomptée	90%		65%		25%	10%									
 NEOLIANE	Prevoyance	Tempo Deces	Précomptée	70%		50%		20%	10%									
 NEOLIANE	Prevoyance	Chiens/chats	Précomptée	45%		45%		0%	10%									
 NEOLIANE	Prevoyance	Prevoyance 4en1	Précomptée	70%		50%		20%	10%									
 NEOLIANE	Prevoyance	 Dependance	Précomptée	45%		40%		5%	10%									
 NEOLIANE	Prevoyance	Soutien Financier	Précomptée	70%		50%		20%	10%									
 NEOLIANE	Prevoyance	Protection Gav	Précomptée	60%		40%		20%	10%									
 NEOLIANE	Prevoyance	Soutien Deces Accidentel	Précomptée	105%		75%		30%	10%									
 NEOLIANE	Prevoyance	Soutien Juridique	Linéaire	10%		10%		0%	10%									
 NEOLIANE	Prevoyance	Soutien Hospi	Précomptée	40%		40%		0%	10%									
 NEOLIANE	Prevoyance	Confort Hospi	Précomptée	90%		65%		25%	10%									
 ZENIOO	Santé	ZEN SANTE SENIOR	Linéaire	15%		15%		0%	15%									
 ZENIOO	Santé	ZEN SANTE SENIOR	Précomptée	30%		30%		0%	10%									
 ZENIOO	Santé	ZEN SANTE CIBLEE	Linéaire	15%		15%		0%	15%									
 ZENIOO	Santé	ZEN SANTE CIBLEE	Précomptée	30%		30%		0%	10%									
 ZENIOO	Santé	ZEN SANTE PRO ESSENTIEL	Linéaire	10%		10%		0%	10%									
 ZENIOO	Santé	ZEN SANTE PRO ESSENTIEL	Linéaire	15%		15%		0%	15%									
 ZENIOO	Santé	ZEN SANTE PRO ESSENTIEL	Précomptée	25%		25%		0%	15%									
 ZENIOO	Santé	ZEN SANTE PRO ESSENTIEL	Précomptée	30%		30%		0%	10%									
 ZENIOO	Santé	ZEN SANTE ECO 	Linéaire	15%		15%		0%	15%									
 ZENIOO	Santé	ZEN SANTE ECO	Linéaire	22%		22%		0%	22%									
 ZENIOO	Santé	ZEN SANTE ECO	Précomptée	30%		30%		0%	10%									
 ZENIOO	Santé	ZEN SANTE ECO	Précomptée	35%		35%		0%	10%									
 ZENIOO	Santé	ZEN SANTE FLEXI SENIOR 	Linéaire	15%		15%		0%	15%									
 ZENIOO	Santé	ZEN SANTE EQUILIBRE	Linéaire	15%		15%		0%	15%									
 ZENIOO	Santé	ZEN SANTE EQUILIBRE	Précomptée	30%		30%		0%	10%									
 ZENIOO	Prevoyance	IJ hospi accident	Précomptée	70%		70%		0%	10%									
 ZENIOO	Prevoyance	Décès accident Zenioo	Précomptée	70%		70%		0%	10%									
 KIASSURE 	Santé	INSTASSUR	Précomptée	40%		32%		8%	10%									
